month,agegroup,dose,n,first_dose,UF
2021-03-01,7,D2,1315,Other,AC
2021-03-01,8,D2,428,Other,AC
2021-03-01,9,D2,189,Other,AC
2021-03-01,10,D2,122,Other,AC
2021-03-01,11,D2,62,Other,AC
2021-04-01,2,D2,0,Other,AC
2021-04-01,3,D2,0,Other,AC
2021-04-01,4,D2,803,Other,AC
2021-04-01,5,D2,1012,Other,AC
2021-04-01,6,D2,772,Other,AC
2021-04-01,7,D2,447,Other,AC
2021-04-01,8,D2,200,Other,AC
2021-04-01,9,D2,782,Other,AC
2021-04-01,10,D2,1614,Other,AC
2021-04-01,11,D2,929,Other,AC
2021-05-01,2,D2,0,Other,AC
2021-05-01,3,D2,4,Other,AC
2021-05-01,4,D2,1854,Other,AC
2021-05-01,5,D2,1857,Other,AC
2021-05-01,6,D2,1729,Other,AC
2021-05-01,7,D2,953,Other,AC
2021-05-01,8,D2,8470,Other,AC
2021-05-01,9,D2,6027,Other,AC
2021-05-01,10,D2,691,Other,AC
2021-05-01,11,D2,123,Other,AC
2021-06-01,2,D2,0,Other,AC
2021-06-01,3,D2,6,Other,AC
2021-06-01,4,D2,2604,Other,AC
2021-06-01,5,D2,3152,Other,AC
2021-06-01,6,D2,3375,Other,AC
2021-06-01,7,D2,2134,Other,AC
2021-06-01,8,D2,5611,Other,AC
2021-06-01,9,D2,4271,Other,AC
2021-06-01,10,D2,1803,Other,AC
2021-06-01,11,D2,96,Other,AC
2021-07-01,2,D2,0,Other,AC
2021-07-01,3,D2,6,Other,AC
2021-07-01,4,D2,1197,Other,AC
2021-07-01,5,D2,1493,Other,AC
2021-07-01,6,D2,2570,Other,AC
2021-07-01,7,D2,3494,Other,AC
2021-07-01,8,D2,11337,Other,AC
2021-07-01,9,D2,5714,Other,AC
2021-07-01,10,D2,1703,Other,AC
2021-07-01,11,D2,144,Other,AC
2021-08-01,2,D2,0,Other,AC
2021-08-01,3,D2,7,Other,AC
2021-08-01,4,D2,5579,Other,AC
2021-08-01,5,D2,10193,Other,AC
2021-08-01,6,D2,10001,Other,AC
2021-08-01,7,D2,10523,Other,AC
2021-08-01,8,D2,7054,Other,AC
2021-08-01,9,D2,966,Other,AC
2021-08-01,10,D2,254,Other,AC
2021-08-01,11,D2,45,Other,AC
2021-09-01,2,D2,2,Other,AC
2021-09-01,3,D2,2108,Other,AC
2021-09-01,4,D2,19245,Other,AC
2021-09-01,5,D2,22277,Other,AC
2021-09-01,6,D2,25900,Other,AC
2021-09-01,7,D2,18611,Other,AC
2021-09-01,8,D2,2460,Other,AC
2021-09-01,9,D2,477,Other,AC
2021-09-01,10,D2,138,Other,AC
2021-09-01,11,D2,22,Other,AC
2021-10-01,2,D2,15,Other,AC
2021-10-01,3,D2,8911,Other,AC
2021-10-01,4,D2,25128,Other,AC
2021-10-01,5,D2,22367,Other,AC
2021-10-01,6,D2,21066,Other,AC
2021-10-01,7,D2,12920,Other,AC
2021-10-01,8,D2,1461,Other,AC
2021-10-01,9,D2,62,Other,AC
2021-10-01,10,D2,-237,Other,AC
2021-10-01,11,D2,-188,Other,AC
2021-11-01,2,D2,23,Other,AC
2021-11-01,3,D2,15732,Other,AC
2021-11-01,4,D2,25314,Other,AC
