week,agegroup,dose,n,UF
2021-04-10,4,D2cum,3497,AC
2021-04-10,5,D2cum,4152,AC
2021-04-10,6,D2cum,3464,AC
2021-04-10,7,D2cum,1996,AC
2021-04-10,8,D2cum,893,AC
2021-04-10,9,D2cum,3634,AC
2021-04-10,10,D2cum,2174,AC
2021-04-10,11,D2cum,1095,AC
2021-04-10,2,D1cum,15,AC
2021-04-10,3,D1cum,36,AC
2021-04-10,4,D1cum,4375,AC
2021-04-10,5,D1cum,4883,AC
2021-04-10,6,D1cum,5497,AC
2021-04-10,7,D1cum,3094,AC
2021-04-10,8,D1cum,27944,AC
2021-04-10,9,D1cum,15976,AC
2021-04-10,10,D1cum,4809,AC
2021-04-10,11,D1cum,465,AC
2021-04-10,2,D,0,AC
2021-04-10,3,D,0,AC
2021-04-10,4,D,1,AC
2021-04-10,5,D,0,AC
2021-04-10,6,D,1,AC
2021-04-10,7,D,0,AC
2021-04-10,8,D,0,AC
2021-04-10,9,D,0,AC
2021-04-10,10,D,0,AC
2021-04-10,11,D,0,AC
2021-04-10,2,D2,0,AC
2021-04-10,3,D2,2,AC
2021-04-10,4,D2,496,AC
2021-04-10,5,D2,412,AC
2021-04-10,6,D2,307,AC
2021-04-10,7,D2,149,AC
2021-04-10,8,D2,188,AC
2021-04-10,9,D2,1725,AC
2021-04-10,10,D2,182,AC
2021-04-10,11,D2,28,AC
2021-04-10,2,D1,0,AC
2021-04-10,3,D1,-1,AC
2021-04-10,4,D1,257,AC
2021-04-10,5,D1,594,AC
2021-04-10,6,D1,1687,AC
2021-04-10,7,D1,910,AC
2021-04-10,8,D1,5709,AC
2021-04-10,9,D1,-1182,AC
2021-04-10,10,D1,-34,AC
2021-04-10,11,D1,2,AC
2021-04-17,2,Dcum,0,AC
2021-04-17,3,Dcum,0,AC
2021-04-17,4,Dcum,1,AC
2021-04-17,5,Dcum,0,AC
2021-04-17,6,Dcum,1,AC
2021-04-17,7,Dcum,1,AC
2021-04-17,8,Dcum,0,AC
2021-04-17,9,Dcum,0,AC
2021-04-17,10,Dcum,12,AC
2021-04-17,11,Dcum,4,AC
2021-04-17,2,D2cum,0,AC
2021-04-17,3,D2cum,6,AC
2021-04-17,4,D2cum,3979,AC
2021-04-17,5,D2cum,4614,AC
2021-04-17,6,D2cum,3824,AC
2021-04-17,7,D2cum,2206,AC
2021-04-17,8,D2cum,1414,AC
2021-04-17,9,D2cum,6141,AC
2021-04-17,10,D2cum,2404,AC
2021-04-17,11,D2cum,1138,AC
2021-04-17,2,D1cum,15,AC
2021-04-17,3,D1cum,39,AC
2021-04-17,4,D1cum,4572,AC
2021-04-17,5,D1cum,5179,AC
2021-04-17,6,D1cum,5872,AC
2021-04-17,7,D1cum,3533,AC
2021-04-17,8,D1cum,31568,AC
2021-04-17,9,D1cum,13872,AC
2021-04-17,10,D1cum,4685,AC
2021-04-17,11,D1cum,447,AC
2021-04-17,2,D,0,AC
2021-04-17,3,D,0,AC
2021-04-17,4,D,0,AC
2021-04-17,5,D,0,AC
2021-04-17,6,D,0,AC
2021-04-17,7,D,0,AC
2021-04-17,8,D,0,AC
2021-04-17,9,D,0,AC
2021-04-17,10,D,0,AC
2021-04-17,11,D,0,AC
2021-04-17,2,D2,0,AC
